,precision,recall,f1-score,support
0,0.7700348432055749,0.8467432950191571,0.8065693430656934,261.0
1,0.0,0.0,0.0,29.0
2,0.25,0.21052631578947367,0.22857142857142856,57.0
accuracy,0.6714697406340058,0.6714697406340058,0.6714697406340058,0.6714697406340058
macro avg,0.34001161440185834,0.35242320360287693,0.3450469238790406,347.0
weighted avg,0.6202567552641356,0.6714697406340058,0.6442166281519234,347.0
